   199 	    36     4	   2.674e+00  -8.972e-02	  3.583e-01  -1.087e-01   3.744e-01    1
    35 	    37     3	   1.878e+00   1.247e+00	  8.077e-02   2.008e-02   8.323e-02    1
    96 	    37     2	   1.837e+00   7.583e-01	  3.381e-03   7.795e-03   8.497e-03    1
   200 	    37     4	   1.316e+00   5.308e-01	 -3.292e-01   9.883e-02   3.437e-01    1
   150 	    38     1	   8.191e-01   2.059e-02	 -6.049e-02  -5.109e-01   5.144e-01    1
    36 	    39     3	   2.199e+00   1.100e+00	  1.995e-01   2.114e-02   2.006e-01    1
   151 	    39     1	   1.160e+00   5.600e-01	  1.285e-01  -2.042e-01   2.412e-01    1
    37 	    40     3	   2.300e+00   2.479e+00	  2.759e-01   8.509e-01   8.945e-01    1
    38 	    41     3	   1.994e+00   1.593e+00	  1.708e-01   1.803e-01   2.484e-01    1
    97 	    41     2	   1.834e+00   1.147e+00	 -1.843e-02   1.735e-01   1.745e-01    1
   152 	    41     1	   7.339e-01   1.282e+00	 -4.703e-02   1.888e-01   1.946e-01    1
   201 	    41     4	   1.474e+00   8.199e-01	 -2.312e-01   1.754e-01   2.902e-01    1
    39 	    42     3	   2.218e+00   1.112e+00	  2.503e-01  -1.211e-02   2.506e-01    1
    98 	    42     2	   2.064e+00   6.380e-01	  7.618e-02  -1.941e-02   7.861e-02    1
   153 	    42     1	   1.061e+00   8.165e-01	  1.715e-01   3.608e-03   1.715e-01    1
   202 	    42     4	   1.609e+00   2.977e-01	 -1.960e-01  -2.340e-02   1.974e-01    1
    40 	    43     3	   1.831e+00   1.264e+00	 -4.486e-02  -7.639e-02   8.859e-02    1
    99 	    43     2	   1.952e+00   8.237e-01	  6.716e-02  -1.548e-01   1.687e-01    1
   154 	    43     1	   7.960e-01   1.229e+00	 -5.172e-02   1.714e-01   1.790e-01    1
   203 	    43     4	   1.740e+00   9.097e-01	 -4.190e-02   2.139e-01   2.180e-01    1
   100 	    44     2	   1.540e+00   8.074e-01	 -1.534e-01   3.701e-04   1.534e-01    1
   204 	    44     4	   1.460e+00   8.181e-01	 -2.283e-01   2.671e-01   3.514e-01    1
   101 	    45     2	   1.384e+00   9.280e-01	 -2.942e-01   1.903e-02   2.948e-01    1
   205 	    45     4	   1.742e+00   1.031e+00	 -4.943e-02   3.628e-01   3.661e-01    1
    41 	    46     3	   1.635e+00   1.264e+00	 -1.796e-01  -9.434e-02   2.029e-01    1
   102 	    46     2	   1.735e+00   9.104e-01	 -1.251e-01  -1.673e-01   2.089e-01    1
   155 	    46     1	   9.387e-01   1.254e+00	  3.702e-02   1.961e-01   1.996e-01    1
   206 	    46     4	   2.039e+00   9.329e-01	  1.856e-01   8.009e-02   2.021e-01    1
    42 	    47     3	   1.742e+00   1.227e+00	 -1.551e-01   3.806e-01   4.110e-01    1
   103 	    47     2	   2.184e+00   7.753e-01	  6.054e-02   4.668e-01   4.707e-01    1
   156 	    47     1	   1.172e+00   9.406e-02	  7.509e-02  -3.188e-01   3.276e-01    1
   207 	    47     4	   2.108e+00  -4.754e-01	  1.600e-01  -6.584e-01   6.775e-01    1
    43 	    48     3	   1.277e+00   5.977e-01	  1.055e-01  -2.839e-01   3.029e-01    1
   104 	    48     2	   6.610e-01  -1.158e-01	 -6.744e-01  -5.077e-01   8.441e-01    1
   157 	    48     1	  -3.884e-01   4.854e-02	 -6.881e-01  -4.537e-01   8.242e-01    1
    44 	    49     3	   1.442e+00   8.389e-01	 -1.539e-01  -2.708e-01   3.115e-01    1
    45 	    50     3	   1.508e+00   1.638e+00	 -1.916e-01   9.899e-02   2.156e-01    1
   105 	    50     2	   1.751e+00   1.183e+00	 -7.064e-02   6.437e-02   9.557e-02    1
   158 	    50     1	   6.715e-01   1.425e+00	 -1.399e-01   2.393e-01   2.772e-01    1
